id,lat,long,misc
341,-35,10,S35 00 E010 00           
342,-35,20,S35 00 E020 00           
343,-35,30,S35 00 E030 00           
344,-35,35,S35 00 E035 00           
345,-35,40,S35 00 E040 00           
346,-35,45,S35 00 E045 00           
347,-35,50,S35 00 E050 00           
348,-35,55,S35 00 E055 00           
349,-35,60,S35 00 E060 00           
350,-35,65,S35 00 E065 00           
351,-35,70,S35 00 E070 00           
352,-35,75,S35 00 E075 00           
353,-36,0,S36 00 E000 00           
354,-36,10,S36 00 E010 00           
355,-36,20,S36 00 E020 00           
356,-36,30,S36 00 E030 00           
357,-36,40,S36 00 E040 00           
358,-37,0,S37 00 E000 00           
359,-37,10,S37 00 E010 00           
360,-37,20,S37 00 E020 00           
361,-37,30,S37 00 E030 00           
362,-37,40,S37 00 E040 00           
363,-38,0,S38 00 E000 00           
364,-38,10,S38 00 E010 00           
365,-38,20,S38 00 E020 00           
366,-38,30,S38 00 E030 00           
367,-38,40,S38 00 E040 00           
368,-39,0,S39 00 E000 00           
369,-39,10,S39 00 E010 00           
370,-39,20,S39 00 E020 00           
371,-39,30,S39 00 E030 00           
372,-39,40,S39 00 E040 00           
373,-40,0,S40 00 E000 00           
374,-40,5,S40 00 E005 00           
375,-40,-5,S40 00 W005 00           
376,-40,10,S40 00 E010 00           
377,-40,15,S40 00 E015 00           
378,-40,20,S40 00 E020 00           
379,-40,25,S40 00 E025 00           
380,-40,30,S40 00 E030 00           
381,-40,35,S40 00 E035 00           
382,-40,40,S40 00 E040 00           
383,-40,45,S40 00 E045 00           
384,-40,50,S40 00 E050 00           
385,-40,55,S40 00 E055 00           
386,-40,60,S40 00 E060 00           
387,-40,65,S40 00 E065 00           
388,-40,70,S40 00 E070 00           
389,-40,75,S40 00 E075 00           
390,-41,0,S41 00 E000 00           
391,-41,20,S41 00 E020 00           
392,-41,30,S41 00 E030 00           
393,-41,40,S41 00 E040 00           
394,-42,0,S42 00 E000 00           
395,-42,10,S42 00 W010 00           
396,-42,20,S42 00 E020 00           
397,-42,30,S42 00 E030 00           
398,-42,40,S42 00 W040 00           
399,-43,0,S43 00 E000 00           
400,-43,10,S43 00 E010 00           
401,-43,20,S43 00 E020 00           
402,-43,30,S43 00 W030 00           
403,-43,40,S43 00 W040 00           
404,-44,0,S44 00 E000 00           
405,-44,10,S44 00 E010 00           
406,-44,20,S44 00 E020 00           
407,-44,30,S44 00 E030 00           
408,-44,40,S44 00 E040 00           
409,-45,0,S45 00 E000 00           
410,-45,5,S45 00 E005 00           
411,-45,-5,S45 00 W005 00           
412,-45,10,S45 00 E010 00           
413,-45,15,S45 00 E015 00           
414,-45,20,S45 00 E020 00           
415,-45,25,S45 00 E025 00           
416,-45,30,S45 00 W030 00           
417,-45,35,S45 00 E035 00           
418,-45,40,S45 00 E040 00           
419,-45,45,S45 00 E045 00           
420,-45,50,S45 00 E050 00           
421,-45,55,S45 00 E055 00           
422,-45,60,S45 00 E060 00           
423,-45,65,S45 00 W065 00           
424,-45,70,S45 00 W070 00           
425,-45,75,S45 00 E075 00           
426,31,-12.165,45LT                     
427,-46,0,S46 00 E000 00           
428,-46,10,S46 00 E010 00           
429,-46,20,S46 00 E020 00           
430,-46,30,S46 00 E030 00           
431,-47,0,S47 00 E000 00           
432,-47,10,S47 00 E010 00           
433,-47,20,S47 00 E020 00           
434,-47,30,S47 00 E030 00           
435,-48,0,S48 00 E000 00           
436,-48,10,S48 00 E010 00           
437,-48,20,S48 00 E020 00           
438,-48,30,S48 00 E030 00           
439,-49,0,S49 00 E000 00           
440,-49,10,S49 00 E010 00           
441,-49,20,S49 00 E020 00           
442,-49,30,S49 00 E030 00           
443,-50,0,S50 00 E000 00           
444,-50,5,S50 00 E005 00           
445,-50,-5,S50 00 W005 00           
446,-50,10,S50 00 E010 00           
447,-50,15,S50 00 E015 00           
448,-50,20,S50 00 E020 00           
449,-50,25,S50 00 E025 00           
450,-50,30,S50 00 E030 00           
451,-50,35,S50 00 E035 00           
452,-50,40,S50 00 E040 00           
453,-50,45,S50 00 E045 00           
454,-50,50,S50 00 E050 00           
455,-50,55,S50 00 E055 00           
456,-50,60,S50 00 E060 00           
457,-50,65,S50 00 E065 00           
458,-50,70,S50 00 E070 00           
459,-50,75,S50 00 E075 00           
460,-18.03166667,28.51666667,50VSB                    
461,-51,0,S51 00 E000 00           
462,-51,10,S51 00 E010 00           
463,-51,20,S51 00 E020 00           
464,-51,30,S51 00 E030 00           
465,33.43194444,9.876111111,TBS144/151               
466,-52,0,S52 00 E000 00           
467,-52,10,S52 00 E010 00           
468,-52,20,S52 00 E020 00           
469,-52,30,S52 00 E030 00           
470,-53,0,S53 00 E000 00           
471,-53,10,S53 00 E010 00           
472,-53,20,S53 00 E020 00           
473,-53,30,S53 00 E030 00           
474,-54,0,S54 00 E000 00           
475,-54,10,S54 00 E010 00           
